nc_code,category,reason,detail
NC_0262,B2B,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_0274,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_0470,B2B,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_0502,B2B,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_0726,B2B,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_0729,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_0738,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_0740,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_0742,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_0743,B2B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_0760,B2B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_0762,B2B,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_0767,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_0769,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_0772,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_0787,B2B2C,SKIPPED_NO_SIGNATURE,"antonio_serrano_certificado.pdf"
NC_0798,B2B,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_0805,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_0812,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_0815,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_0847,B2B,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_0875,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_0878,B2B,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_0946,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_0950,B2B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_0951,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_0953,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
